ID,Sex,Age,Height,Weight,ColdSens,ColdExp,Workhr,Coffeeintake,Vote_time,therm_sens,therm_pref,location,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480,sd.Solar_480,mean.hr_5,grad.hr_5,sd.hr_5,mean.hr_15,grad.hr_15,sd.hr_15,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_5,grad.WristT_5,sd.WristT_5,mean.WristT_15,grad.WristT_15,sd.WristT_15,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.AnkleT_5,grad.AnkleT_5,sd.AnkleT_5,mean.AnkleT_15,grad.AnkleT_15,sd.AnkleT_15,mean.AnkleT_60,grad.AnkleT_60,sd.AnkleT_60,mean.PantT_5,grad.PantT_5,sd.PantT_5,mean.PantT_15,grad.PantT_15,sd.PantT_15,mean.PantT_60,grad.PantT_60,sd.PantT_60,mean.act_5,grad.act_5,sd.act_5,mean.act_15,grad.act_15,sd.act_15,mean.act_60,grad.act_60,sd.act_60
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 10:10,0,0,1,21.18461538,0.046593407,0.93883452,17.21340206,0.008722912,1.774097709,40.23076923,-0.17032967,3.789323734,56.62886598,-0.03236114,7.128755717,0.915384615,0.010989011,0.395487366,0.805154639,-0.000131759,0.588495811,626.4615385,2.687912088,52.36668054,153.8247423,1.399818536,239.8015243,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.74833333,-0.049428571,0.121723731,33.25625,-0.080352941,0.449916659,31.8395122,0.120627178,1.765147234,30.64,0.385142857,0.727846138,29.93375,0.114205882,0.716341399,29.72857143,0.032571104,0.993040592,22.74,-0.056571429,0.188361355,22.953125,-0.067014706,0.400544941,23.357,-0.073433396,1.307632819,NA,NA,NA,9.145558361,0.013804849,1.663008583,9.126025737,0.003282967,1.045787975
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 10:35,0.6,0,1,23.08,0.048,0.38340579,23.08,0.048,0.38340579,35.8,-0.2,1.643167673,35.8,-0.2,1.643167673,0.52,0.026,0.38340579,0.52,0.026,0.38340579,743.8,2.46,19.46021583,743.8,2.46,19.46021583,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.90166667,0.01,0.02857738,32.9125,0.001323529,0.040743098,32.7556,0.024230769,0.228219193,31.205,0.304285714,0.571410535,30.818125,0.050838235,0.496268996,30.9892,-0.017084615,0.486885681,25.325,-0.019714286,0.455752126,23.900625,0.231279412,1.23005403,23.444,0.130738462,1.156287162,7.036821797,NA,NA,7.036821797,NA,NA,9.249029174,0.124670721,0.819408115
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 11:40,-0.1,0,1,24.80833333,0.023426992,0.507145906,24.80833333,0.023426992,0.507145906,33.5,-0.033717181,1.314257481,33.5,-0.033717181,1.314257481,0.95,0.012326117,0.427466107,0.95,0.012326117,0.427466107,842.0833333,1.858222018,37.82125024,842.0833333,1.858222018,37.82125024,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.53,-0.005142857,0.024494897,34.54625,-0.004147059,0.030740852,34.61868852,-0.001877314,0.161477299,30.14,0,0,30.305,-0.041382353,0.22090722,30.82262295,-0.016057641,0.373036645,25.59666667,0.008571429,0.049665548,25.81,-0.050058824,0.268675765,25.59262295,0.010150185,0.264076388,9.249483959,1.02E-06,1.49E-06,9.249483959,1.02E-06,1.49E-06,9.090589948,-0.02016959,0.885953613
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 12:00,-0.1,0,1,25.775,0.046,0.309569594,25.775,0.046,0.309569594,30.75,-0.14,1.258305739,30.75,-0.14,1.258305739,0.975,-0.062,0.427200187,0.975,-0.062,0.427200187,910,1.48,9.763879011,910,1.48,9.763879011,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.18166667,-0.025428571,0.05231316,34.300625,-0.022779412,0.111323478,34.3505,-0.023466165,0.142993375,29.79666667,-0.055428571,0.110211917,29.945,-0.037,0.199131447,30.003,-0.031368421,0.244348759,26.085,-0.014571429,0.077653075,25.9025,0.031676471,0.173608756,25.868,0.024496241,0.169724235,NA,NA,NA,9.249485013,NA,NA,9.249485472,-1.69E-07,6.50E-07
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 12:07,0.1,0,1,26.2,NA,NA,26.2,NA,NA,29,NA,NA,29,NA,NA,1.8,NA,NA,1.8,NA,NA,933,NA,NA,933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.36,0.092,0.181218101,34.33714286,0.074642857,0.17613577,34.33714286,0.074642857,0.17613577,30.05833333,0.181428571,0.356113278,29.99857143,0.158214286,0.361498205,29.99857143,0.158214286,0.361498205,26.315,0.199142857,0.563941486,26.26714286,0.160357143,0.530148227,26.26714286,0.160357143,0.530148227,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 13:11,0.4,0,-1,26.81666667,0.025594406,0.530580014,26.76923077,0.024175824,0.536010907,28.25,-0.006293706,0.866025404,28.30769231,-0.00989011,0.854850414,1.316666667,-0.008111888,0.593653302,1.315384615,-0.006263736,0.56839856,945.9166667,0.516783217,9.529459904,945.3076923,0.458241758,9.384247576,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.02333333,-0.055428571,0.114134424,35.048125,-0.001926471,0.083043663,34.85704918,0.011431518,0.235869627,29.56833333,0.084285714,0.160675657,29.264375,0.052955882,0.277391871,29.60098361,-0.019888948,0.425643454,26.02166667,-0.079142857,0.306360354,25.775,0.060647059,0.484905489,25.35836066,0.013152829,0.36232665,NA,NA,NA,NA,NA,NA,8.888580753,-0.098980827,0.494260766
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 13:16,1.7,-1,-1,27.5,NA,NA,27.5,NA,NA,27,NA,NA,27,NA,NA,0.9,NA,NA,0.9,NA,NA,957,NA,NA,957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.516,-0.169,0.272451831,34.516,-0.169,0.272451831,34.516,-0.169,0.272451831,31.182,0.431,0.683717778,31.182,0.431,0.683717778,31.182,0.431,0.683717778,29.352,0.474,0.789537839,29.352,0.474,0.789537839,29.352,0.474,0.789537839,9.072676668,0.035440556,2.470715112,9.072676668,0.035440556,2.470715112,9.072676668,0.035440556,2.470715112
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 13:38,0.2,0,1,28,0.056,0.365148372,28,0.056,0.365148372,27.75,-0.1,1.707825128,27.75,-0.1,1.707825128,1,0.044,0.583095189,1,0.044,0.583095189,955.75,-0.06,0.5,955.75,-0.06,0.5,79.4717608,1.136555851,3.028206271,79.98963134,0.072492554,3.734082972,79.98963134,0.072492554,3.734082972,34.17333333,0.101714286,0.192734705,33.513125,0.124808824,0.607264015,33.56545455,0.03230943,0.574055973,31.08,0.097142857,0.18676188,31.13,-0.010352941,0.162069944,31.23772727,-0.027673631,0.265902449,24.335,0.084857143,0.159593233,24.125,0.039176471,0.201791972,24.60227273,-0.09824393,1.235298043,9.141392107,-0.591981284,0.583537052,8.917643109,-0.008750443,0.509274321,8.950168419,-0.009079114,1.038599489
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 13:56,1.7,-1,-1,28.075,-0.014,0.125830574,28.075,-0.014,0.125830574,29,0.4,2.581988897,29,0.4,2.581988897,1.45,0.008,0.435889894,1.45,0.008,0.435889894,944.75,-0.9,5.852349955,944.75,-0.9,5.852349955,102.8803987,1.554922884,8.807136188,94.33851276,1.862223546,10.37452829,92.6212963,1.552532481,10.28365585,34.83833333,-0.123142857,0.235492392,34.87625,0.006441176,0.234716141,34.83277778,0.0175129,0.254484613,32.265,0.303142857,0.585243539,32.03125,0.0535,0.395016877,31.97055556,0.055779154,0.412245961,25.58666667,1.072,2.091197424,24.9075,0.129617647,1.343703836,24.87444444,0.100784314,1.265851131,NA,NA,NA,9.238306998,0.036736906,0.563822766,9.220133044,0.007504938,0.57119863
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 14:30,0,0,1,27.15714286,-0.022142857,0.257275098,27.15714286,-0.022142857,0.257275098,36.14285714,0.042857143,1.463850109,36.14285714,0.042857143,1.463850109,1.328571429,0.015714286,0.368394199,1.328571429,0.015714286,0.368394199,918.2857143,-0.978571429,10.7349008,918.2857143,-0.978571429,10.7349008,90.65116279,6.132723152,10.40838958,85.49944506,0.818547512,7.745769435,88.59460784,-0.403895587,9.50624432,34.17166667,-0.062571429,0.171279499,34.61625,-0.134705882,0.795502986,34.89058824,-0.01508327,0.887437377,32.56833333,-0.006,0.02857738,32.589375,-0.009544118,0.087290225,32.91588235,-0.033304813,0.36104325,25.72,0.009142857,0.122637678,26.168125,-0.113220588,0.612766609,26.91058824,-0.051645531,1.346190903,9.023868063,NA,0.658575871,9.095767657,-0.015499577,0.950597681,9.099602428,-0.017766556,0.949708337
